,,Portfolio Construction,,,,,,,,,,,,Regional Composition,,,,,Current Sector,,,,After rebal Sectors,,,,,,
TICK,Symbol,Name,New,Old, Δ % ,Div Yield,Div Yield Contribution,FCF/CAp,,Vertical,Country,United States,,Asia,Latin America,Europe,Real Estate,Infrastructure,Innovation,Lending,Real Estate,Infrastructure,Innovation,Lending,Market Cap (USD BLN),Avg Volume,Price,Dollar Volume ($Mln),Sector
36,MELI,MercadoLibre,11.08%,11.79%,-0.71%,,-11.08%,6.23%,0.69%,Innovation,Latin America,,,,11.08%,,,,11.79%,,,,11.08%,,122.0661333,338283,2407.74,81.44975104,Consumer Discretionary
36,NTDOY,Nintendo Co Ltd,11.08%,13.51%,-2.43%,0.17%,0.02%,,0.00%,Innovation,Asia,,,11.08%,,,,,13.51%,,,,11.08%,,107,1556037,23.19,3.608449803,Communication Services
20,HDSN,Hudson Technologies,6.15%,3.71%,2.44%,,0.00%,15.95%,0.98%,Innovation,United States,6.15%,,,,,,,3.71%,,,,6.15%,,0.430570014,482542,9.86,0.475786412,Industrials
20,ELF,ELF,6.15%,3.88%,2.27%,,0.00%,1.96%,0.12%,Innovation,United States,6.15%,,,,,,,3.88%,,,,6.15%,,6.464374644,2221649,113.94,25.31346871,Consumer Staples
12,BMI,Badger Meter,3.69%,6.55%,-2.86%,0.74%,0.03%,2.96%,0.11%,Innovation,United States,3.69%,,,,,,,6.55%,,,,3.69%,,5.453791031,425280,185.07,7.87065696,Information Technology
30,AGM,Federal Agricultural Mortgage Corp,9.23%,11.89%,-2.66%,3.07%,0.28%,10.86%,1.00%,Lending,United States,9.23%,,,,,,,,11.89%,,,,9.23%,2.151659042,69237,205.1,1.42005087,Financials
20,VCISY,Vinci SA,6.15%,10.90%,-4.75%,2.66%,0.16%,12.32%,0.76%,Infrastructure,Europe,,,,,6.15%,,10.90%,,,,6.15%,,,83.7,191246,35.17,0.672612182,Industrials
17,LMND,Lemonade,5.23%,10.33%,-5.10%,,0.00%,,0.00%,Innovation,United States,5.23%,,,,,,,10.33%,,,,5.23%,,3.93297357,2978568,53.23,15.85491746,Financials
20,CPRT,Copart,6.15%,,6.15%,,0.00%,2.56%,0.16%,Infrastructure,United States,6.15%,,,,,,,,,,6.15%,,,46.79004213,6678961,48.39,32.31949228,Industrials
10,CKHUY,CK Hutchison,3.08%,2.61%,0.47%,3.40%,0.10%,21.42%,0.66%,Infrastructure,Asia,,,3.08%,,,,2.61%,,,,3.08%,,,24.5,128888,6.64,0.085581632,Industrials
,AMAL,Amalgamated Bank,0.00%,2.09%,-2.09%,1.97%,0.00%,14.23%,0.00%,Lending,United States,0.00%,,,,,,,,2.09%,,,,0.00%,0.884905548,181147,29.39,0.532391033,Financials
10,UMICY,Umicore,3.08%,0.00%,3.08%,0.92%,0.03%,3.06%,0.09%,Innovation,Europe,,,,,3.08%,,,0.00%,,,,3.08%,,3.496542198,23339,3.95,0.009218905,Materials
12,SVNLY,Svenska Handelsbanken,3.69%,0.00%,3.69%,8.65%,0.32%,35.17%,1.30%,Lending,Europe,,,,,3.69%,,,,0.00%,,,,3.69%,25.2,194158,6.56,0.127367648,Financials
10,TMRAY,Tomra,3.08%,,3.08%,0.89%,0.03%,3.81%,0.12%,Innovation,Europe,,,,,3.08%,,,,,,,3.08%,,4.492688046,5108,15.27,0.007799916,Industrials
10,INGR,Ingredion,3.08%,,3.08%,2.51%,0.08%,9.80%,0.30%,Innovation,United States,3.08%,,,,,,,,,,,3.08%,,8.216436531,463314,128.02,5.931345828,Consumer Staples
10,PL,Planet Labs PBC,3.08%,,3.08%,,0.00%,,0.00%,Innovation,United States,3.08%,,,,,,,,,,,3.08%,,2.14222143,6137907,7.06,4.333362342,Industrials
10,AHH,Armada Hoffler,3.08%,,3.08%,11.82%,0.36%,10.67%,0.33%,Real Estate,United States,3.08%,,,,,,,,,3.08%,,,,0.737053897,675655,7.11,0.480390705,Real Estate
12,UTHR,United Therapeutics,3.69%,,3.69%,,0.00%,7.62%,0.28%,Innovation,United States,3.69%,,,,,,,,,,,3.69%,,13.81119855,627363,305.38,19.15841129,Health Care
10,SHLS,Shoals Technologies,3.08%,,3.08%,,0.00%,1.25%,0.04%,Infrastructure,United States,3.08%,,,,,,,,,,3.08%,,,1.138065711,5250658,6.8,3.57044744,Industrials
,LI,Li Auto,0.00%,5.50%,-5.50%,,0.00%,5.70%,0.00%,Innovation,Asia,,,0.00%,,,,,5.50%,,,,0.00%,,198.1386356,5234187,24,12.5620488,Consumer Discretionary
,SKM,SK telecom,0.00%,4.68%,-4.68%,3.85%,0.00%,27.58%,0.00%,Infrastructure,Asia,,,0.00%,,,,4.68%,,,,0.00%,,,11856.408,342352,22.07,0.755570864,Communication Services
,CROX,Crocs Inc,0.00%,2.68%,-2.68%,,0.00%,16.80%,0.00%,Innovation,United States,0.00%,,,,,,,2.68%,,,,0.00%,,4.712932044,2341993,86.29,20.2090576,Consumer Discretionary
,BDORY,Banco Do Brazil,0.00%,2.44%,-2.44%,8.69%,0.00%,28.45%,0.00%,Lending,Latin America,,,,0.00%,,,,,2.44%,,,,0.00%,114.9032173,1262854,3.74,0.472307396,Financials
10,ARE,Alexandria Real Estate Equities Inc,3.08%,1.73%,1.35%,6.82%,0.21%,10.60%,0.33%,Real Estate,United States,3.08%,,,,,1.73%,,,,3.08%,,,,13.90935442,1618372,80.42,13.01494762,Real Estate
