Metric,Strategy,01-31-2025,02-28-2025,03-31-2025,04-30-2025,05-31-2025,06-30-2025,07-31-2025,08-31-2025,09-30-2025,10-31-2025,11-30-2025,12-31-2025
Monthly_Return,Growth,2.50%,2.65%,3.05%,2.15%,2.25%,2.35%,3.15%,1.55%,2.05%,1.72%,2.43%,3.50%
Holdings_Count,Growth,22,22,23,23,24,24,26,26,27,27,25,25
Turnover,Growth,12.00%,0.00%,10.50%,0.00%,9.00%,0.00%,8.00%,0.00%,8.50%,0.00%,7.00%,0.00%
Cash_Balance,Growth,2200000,2250000,2250000,2025000,1125000,1125000,1575000,1575000,1755000,1755000,1800000,186000
AUM,Growth,22000000,22550000,23237825,23737325,24271657,24841854,25625946,26023186,26556970,27013459,27669709,28636948
Monthly_Return,Income,1.00%,1.00%,1.00%,1.45%,1.35%,1.25%,1.35%,1.45%,1.00%,0.85%,0.65%,1.25%
Holdings_Count,Income,14,14,14,14,15,15,16,16,15,15,15,15
Turnover,Income,5.00%,0.00%,4.50%,0.00%,4.00%,0.00%,3.50%,0.00%,3.00%,0.00%,2.50%,0.00%
Cash_Balance,Income,1500000,1515000,1530000,1552000,1573000,1592000,1613000,1636000,1652000,1666000,1677000,1698000
AUM,Income,10000000,10100000,10201000,10349015,10488823,10619133,10762837,10918856,11029744,11130442,11214998,11355185
Monthly_Return,Diversification,1.50%,1.45%,1.55%,1.45%,1.95%,1.85%,1.95%,1.45%,1.00%,1.05%,1.00%,1.85%
Holdings_Count,Diversification,8,8,8,8,8,8,8,8,8,8,8,8
Turnover,Diversification,2.00%,0.00%,1.50%,0.00%,1.00%,0.00%,1.00%,0.00%,1.00%,0.00%,1.00%,0.00%
Cash_Balance,Diversification,0,0,0,0,0,0,0,0,0,0,0,0
AUM,Diversification,15000000,15225000,15445761,15670100,15897436,16191248,16490611,16729936,16897235,17074344,17244588,17563022
